"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMXP","PRCP"
"RSM00034646","CIMLJANSK, RS","47.63","42.12","64.0","2010","1.30","22.88"
"RSM00028493","TARA, RS","56.9","74.3831","73.0","2010","0.57","14.12"
"RSM00030054","VITIM, RS","59.45","112.5831","186.0","2010","0.89","16.37"
"RSM00032477","SOBOLEVO, RS","54.3","155.93","25.0","2010","0.96","30.62"
"RSM00031388","NORSK, RS","52.35","129.9167","207.0","2010","1.94","28.23"
"RSM00022820","PETROZAWODSK, RS","61.8167","34.2667","110.0","2010","1.09","23.36"
"RSM00023914","CHERDYN, RS","60.4","56.52","208.0","2010","0.72","25.63"
"RSM00028009","KIRS, RS","59.33","52.23","169.0","2010","1.13","19.62"
"RSM00027037","VOLOGDA, RS","59.3167","39.9167","125.0","2010","0.91","22.61"
"RSM00026069","BELOGORKA, RS","59.4","30.1","90.0","2010","2.06","29.58"
"RSM00028367","TYUMEN AMSG, RS","57.15","65.5","79.0","2010","1.69","17.39"
"RSM00029698","NIZHNEUDINSK, RS","54.8831","99.0331","411.0","2010","0.96","16.60"
"RSM00031026","UCHUR, RS","58.73","130.62","194.0","2010","0.79","14.40"
"RSM00027277","VETLUGA, RS","57.9","45.8","136.0","2010","1.07","26.57"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","2010","1.22","32.02"
